Date,股票市值Mom,股票市值Vol,股票行业Mom,股票行业Vol,国债CSM,国债Carry,国债Value,国债TSM,金融债CSM,金融债Carry,金融债Value,金融债TSM,企业债CSM,企业债Carry,企业债Value,企业债TSM,跨类Rev,跨类Value,跨类Vol
2009/1/9,0.042004949896777800,-0.010577647355730900,-0.022143045965776000,0.009436465968356710,-0.000525242711721968,0.001716538140156150,0.002716538140156160,0.002716538140156160,0.003750062206249960,-0.002006804569685610,0.002006804569685610,0.002006804569685610,-0.002338175372368580,0.002338175372368580,-0.002338175372368580,-0.002338175372368580,0.014376826690177600,0.016376826690177600,0.016376826690177600
2009/1/16,0.002824588590219390,0.001409902992516980,-0.027797870210888800,-0.032507772981635900,-0.012659668308696800,-0.017234045682049400,-0.017234045682049400,-0.017234045682049400,-0.007500999027172440,-0.014735751663633400,-0.013735751663633400,-0.013735751663633400,-0.004709596908523320,-0.006533068496725860,-0.005533068496725860,-0.005533068496725860,-0.004972619620365940,-0.004972619620365940,-0.004972619620365940
2009/1/23,-0.005869156670449180,0.003863660334189060,-0.017962576314836100,-0.019195471038712900,0.001782040298150930,-0.004981726541430420,-0.004981726541430420,-0.004981726541430420,-0.001288281249215730,-0.004380042989797550,-0.004380042989797550,-0.004380042989797550,0.000531297897420707,-0.008845813036302660,-0.008845813036302660,-0.008845813036302660,-0.020639369926688100,-0.020639369926688100,-0.021564992146003000
2009/2/6,0.014960194862225100,-0.001383558547712880,-0.018682691669138300,-0.020599095954737500,0.010054328683623900,-0.010304328683623900,-0.010304328683623900,0.007752534613296000,0.011380570123649600,-0.011880570123649600,-0.011880570123649600,0.004736149529292470,0.006381906351491940,-0.006881906351491940,-0.006881906351491940,-0.001644598262123400,0.140691828912697000,0.140691828912697000,0.140191828912697000
2009/2/13,0.042847223762553900,0.009660071514761450,0.041356857994531600,-0.003838944986520450,-0.006438921252210910,0.006438921252210910,0.006438921252210910,-0.004465384153719890,-0.005184109141432640,0.005184109141432640,0.005184109141432640,-0.003066265072438680,-0.000500768560961928,0.000500768560961928,0.000500768560961928,-0.004536743296726850,0.029131038578950200,0.027288528176159200,0.028045121691998200
2009/2/20,0.024011176071162700,-0.011193616257274800,0.011862634280956500,0.030082461385768200,0.004883518177592580,-0.004883518177592580,-0.004883518177592580,-0.001049812325208290,0.003663135345322870,-0.003663135345322870,-0.003663135345322870,-0.000213882610177629,0.003219630193907090,-0.003219630193907090,-0.003219630193907090,-0.001118189435261980,-0.041577446940077500,-0.040855673138292200,-0.040981615136744400
2009/2/27,-0.042243802503357800,-0.000450009146128139,-0.011779046275075100,0.001944795780825150,-0.001662408530980870,0.001662408530980870,0.001662408530980870,-0.000767416439767077,0.001798782464422670,-0.001798782464422670,-0.001798782464422670,-0.001471009228375950,-0.008016708053464330,0.008016708053464330,0.008016708053464330,-0.002567696437771440,-0.065934188020826400,-0.066468550092761100,-0.062908344603742900
2009/3/6,0.038751589456205800,-0.009142035222930330,0.006500547106455130,-0.022388716505177400,0.006269776445578080,-0.006269776445578080,-0.006269776445578080,-0.000142294592846981,0.004949952714664530,-0.004949952714664530,-0.004949952714664530,-0.001523904873005240,0.000795855084882446,-0.000795855084882446,-0.000795855084882446,-0.004048138346481350,0.028097344107769400,0.030175819988842300,0.032120366022915600
2009/3/13,0.004721207440496420,-0.005721207440496420,0.013913592615468000,-0.015768849858856500,-0.004876093981980520,0.004876093981980520,0.004876093981980520,-0.000762425270221634,-0.003503667606777170,0.003503667606777170,0.003503667606777170,0.000382832740880745,0.000669638071828682,-0.000669638071828682,-0.000669638071828682,-0.000919638071828682,0.019287399525846100,0.017757066289667200,0.017208672617732200
2009/3/20,0.002913449646643860,-0.002913449646643860,-0.057535805272587200,-0.016132201878175800,-0.000926415607559822,0.001896940196195800,0.001896940196195800,-0.001467306541006690,-0.001480313039784910,0.001480313039784910,0.001480313039784910,-0.000813500489076913,-0.000381925106292202,0.000381925106292202,0.000381925106292202,0.000381925106292202,0.053358555750058800,0.052629880514153400,0.052357657677794000
2009/3/27,-0.012294376398070700,-0.005066198258916300,-0.023813151180622700,-0.019706722088545800,0.001984479998447810,-0.002658789248915940,-0.002658789248915940,0.000133612180227782,0.005692620218576080,-0.005692620218576080,-0.005692620218576080,0.000065301846687238,0.006439163493973220,-0.006439163493973220,-0.006439163493973220,-0.006439163493973220,0.090510863496332500,0.090550404856027800,0.090010863496332500
2009/4/3,-0.001600288718987210,-0.007452380636971510,-0.014539488188225600,-0.026003922822968900,0.000488522105250633,-0.002921013504022460,-0.002921013504022460,0.000009546112992309,0.002487455578316480,-0.002487455578316480,-0.002487455578316480,0.001757831599848490,0.007891887545983690,-0.007891887545983690,-0.007891887545983690,-0.001387356784336930,0.022424329899523000,0.022018790545379300,0.020303151380453100
2009/4/10,0.024522504285634300,-0.008656644208289150,-0.005385375502118780,-0.017849377893182100,-0.000164323882886813,-0.000085676117113187,-0.000085676117113187,0.001353833768373280,0.000510401437028407,-0.000510401437028407,-0.000510401437028407,0.001335981059469250,-0.000958319556451481,0.000958319556451481,0.000958319556451481,0.003134411451135630,0.025235771296414800,0.025138391195403900,0.024273827687176600
2009/4/17,0.011589892745086100,0.003724517225318640,0.026114010237708900,-0.011042220064373400,-0.002782264260612680,0.002782264260612680,0.002782264260612680,0.000335468001778416,-0.005649139069043020,0.005649139069043020,0.005649139069043020,0.000776215152009818,-0.003470002904978950,0.003470002904978950,0.003470002904978950,0.000514403339825276,0.023674503345670500,0.023363939490530900,0.023174503345670400
